active_days,avg_session_minutes,avg_time_per_question,avg_topic_mastery,hard_accuracy_percent,hidden_ability,max_streak,original_profile_target_grade,original_profile_target_score,overall_accuracy,overall_accuracy_percent,paper1_accuracy,paper1_accuracy_percent,paper2_accuracy,paper2_accuracy_percent,persona,recent_accuracy,recent_accuracy_percent,score_ratio_percent,strong_topic_count,study_consistency_score,synthetic_student_index,target_grade,target_score,total_questions_attempted,total_sessions,total_study_minutes,user_id,weak_topic_count
30,9.22,91.11,38.29,25.71,0.6289,4,B,61.2,0.3989,39.89,0.4214,42.14,0.2759,27.59,Flexible Learner,0.3,30.0,45.43,1,66,1,C,53.93,188,39,359.48,14763,11
18,11.56,100.24,63.98,47.73,0.684,3,B+,67.25,0.6,60.0,0.6232,62.32,0.4815,48.15,Weekend Learner,0.6,60.0,67.93,2,39,2,A-,71.12,165,28,323.72,14764,3
56,14.3,142.08,70.45,49.18,0.9169,6,A,88.89,0.6435,64.35,0.7071,70.71,0.5515,55.15,High Achiever,0.8,80.0,76.27,5,90,3,A,84.68,474,90,1287.2,14765,1
34,13.36,139.38,43.63,27.69,0.6171,4,B,61.56,0.3929,39.29,0.3982,39.82,0.3885,38.85,Consistent Climber,0.4,40.0,55.61,1,62,4,C+,56.97,252,51,681.27,14766,13
25,19.6,191.42,44.27,22.73,0.7145,6,B,64.49,0.4038,40.38,0.449,44.9,0.3832,38.32,Deep Focus Learner,0.3,30.0,58.99,1,54,5,C+,59.79,156,28,548.85,14767,6
35,10.13,96.6,35.16,13.95,0.4613,3,E,43.5,0.2823,28.23,0.2955,29.55,0.2121,21.21,Flexible Learner,0.15,15.0,29.01,0,82,6,D,45.23,209,41,415.37,14768,12
39,11.28,106.01,57.41,34.52,0.7147,4,B+,68.18,0.4894,48.94,0.5088,50.88,0.4138,41.38,Flexible Learner,0.5,50.0,54.75,2,70,7,B+,66.92,284,53,597.63,14769,6
26,8.78,82.96,61.88,36.84,0.7637,3,A-,74.86,0.5735,57.35,0.5902,59.02,0.4286,42.86,Deep Focus Learner,0.45,45.0,59.9,3,30,8,B,63.47,136,27,237.0,14770,3
41,12.16,119.91,59.55,38.57,0.7843,5,A,82.39,0.5645,56.45,0.6266,62.66,0.4556,45.56,Consistent Climber,0.55,55.0,67.3,4,90,9,A-,78.56,248,48,583.45,14771,4
20,9.13,77.9,44.46,17.86,0.6251,2,C+,56.97,0.3782,37.82,0.3782,37.82,0.0,0,Deep Focus Learner,0.35,35.0,37.82,1,30,10,D,45.53,119,21,191.65,14772,8
42,11.2,101.53,30.97,16.42,0.4573,5,E,44.4,0.3144,31.44,0.3333,33.33,0.2264,22.64,Flexible Learner,0.35,35.0,31.11,0,94,11,E,44.48,299,55,615.77,14773,16
15,10.75,89.79,39.12,21.43,0.562,2,C,51.55,0.3955,39.55,0.4202,42.02,0.2,20.0,Weekend Learner,0.55,55.0,39.81,0,34,12,E,43.94,134,23,247.2,14774,9
39,11.21,102.66,55.65,31.51,0.7122,5,B+,66.25,0.4804,48.04,0.4887,48.87,0.45,45.0,Flexible Learner,0.75,75.0,53.61,2,42,13,B,60.86,281,51,571.9,14775,7
45,12.26,112.04,65.34,44.07,0.8408,4,A,87.56,0.6129,61.29,0.6577,65.77,0.5089,50.89,Consistent Climber,0.6,60.0,71.64,3,78,14,A-,78.08,372,67,821.68,14776,2
45,15.95,167.39,56.13,29.66,0.745,4,A-,75.47,0.4867,48.67,0.5586,55.86,0.433,43.3,Consistent Climber,0.6,60.0,64.56,1,90,15,A-,74.15,339,66,1052.68,14777,7
17,8.7,75.41,33.74,15.38,0.4618,2,G,38.99,0.3041,30.41,0.2938,29.38,0.4545,45.45,Weekend Learner,0.0,0.0,34.84,0,49,16,E,41.77,171,31,269.82,14778,9
17,13.92,132.46,58.92,35.71,0.6887,2,B+,66.62,0.5597,55.97,0.6806,68.06,0.4194,41.94,Weekend Learner,0.8,80.0,69.75,3,73,17,A-,75.89,134,25,348.08,14779,5
23,10.65,107.92,52.48,44.74,0.6891,2,B,62.44,0.4541,45.41,0.5172,51.72,0.3478,34.78,Weekend Learner,0.35,35.0,52.46,1,66,18,B,62.27,185,38,404.77,14780,7
15,10.39,103.1,42.91,26.09,0.6265,2,C+,56.99,0.4526,45.26,0.4706,47.06,0.4,40.0,Weekend Learner,0.35,35.0,53.95,1,58,19,C+,58.34,137,27,280.47,14781,7
38,10.13,92.18,53.77,37.5,0.696,5,A-,74.3,0.4928,49.28,0.4848,48.48,0.5319,53.19,Consistent Climber,0.55,55.0,55.27,1,58,20,B+,65.76,278,52,526.8,14782,7
35,12.68,121.01,61.25,49.33,0.754,3,A-,78.5,0.5599,55.99,0.587,58.7,0.52,52.0,Consistent Climber,0.4,40.0,68.8,4,42,21,A-,70.19,309,57,722.85,14783,4
29,9.41,90.6,51.14,31.71,0.6267,4,C+,58.58,0.478,47.8,0.4797,47.97,0.4706,47.06,Flexible Learner,0.4,40.0,56.5,1,54,22,B,61.79,182,37,348.32,14784,6
23,15.84,167.81,46.76,43.01,0.7066,2,B+,65.51,0.4601,46.01,0.5591,55.91,0.3833,38.33,Weekend Learner,0.65,65.0,62.86,0,54,23,B,61.78,213,43,681.13,14785,9
18,19.98,193.48,55.71,31.51,0.6645,2,B,62.19,0.519,51.9,0.6279,62.79,0.4783,47.83,Weekend Learner,0.4,40.0,69.15,1,75,24,A-,72.17,158,28,559.33,14786,4
36,11.55,117.27,31.36,8.93,0.4649,4,E,40.91,0.2763,27.63,0.3272,32.72,0.1515,15.15,Flexible Learner,0.1,10.0,31.98,0,82,25,D,45.95,228,45,519.73,14787,13
31,15.8,171.28,48.32,23.88,0.6916,4,B,62.38,0.3871,38.71,0.5333,53.33,0.2883,28.83,Flexible Learner,0.5,50.0,54.09,3,82,26,B,63.94,186,38,600.55,14788,7
18,10.89,105.73,43.22,13.04,0.6127,2,C,50.03,0.3913,39.13,0.4493,44.93,0.2174,21.74,Fresh Starter,0.2,20.0,45.92,1,51,27,D,49.18,92,18,195.98,14789,7
12,8.87,85.24,34.95,8.33,0.5534,1,E,43.57,0.3448,34.48,0.3396,33.96,0.4,40.0,Fresh Starter,0.35,35.0,36.06,0,42,28,E,40.59,58,12,106.47,14790,7
10,9.77,82.91,36.73,9.09,0.5121,2,G,38.62,0.3571,35.71,0.32,32.0,0.6667,66.67,Fresh Starter,0.3,30.0,39.05,0,15,29,E,41.3,56,10,97.68,14791,7
25,12.47,117.39,37.59,22.81,0.6006,3,C,52.38,0.3442,34.42,0.4122,41.22,0.194,19.4,Weekend Learner,0.6,60.0,42.56,1,66,30,D,48.96,215,40,498.95,14792,12
