accuracy_snapshot,chapter,chapter_id,correct_count,device_type,duration_seconds,end_time,form,highest_streak,incorrect_count,paper_type,persona,practice_id,session_language,start_time,synthetic_student_index,total_questions_answered,user_id
0.0,Chapter 3: Logical Reasoning,3,0,Laptop,426,2026-02-04 22:12:06,Form 4,0,2,kertas2,Flexible Learner,589664,english,2026-02-04 22:05:00,1,2,14763
0.0,Chapter 2: Number Bases,2,0,Laptop,277,2026-02-06 22:19:37,Form 4,0,3,kertas1,Flexible Learner,589665,english,2026-02-06 22:15:00,1,3,14763
66.67,Chapter 5: Network in Graph Theory,5,4,Mobile,485,2026-02-15 22:13:05,Form 4,3,2,kertas1,Flexible Learner,589666,english,2026-02-15 22:05:00,1,6,14763
42.86,Chapter 3: Logical Reasoning,3,3,Mobile,607,2026-02-17 20:30:07,Form 4,1,4,kertas1,Flexible Learner,589667,english,2026-02-17 20:20:00,1,7,14763
50.0,Chapter 7: Measures of Dispersion for Grouped Data,17,2,Laptop,458,2026-02-17 21:37:38,Form 5,1,2,kertas1,Flexible Learner,589668,english,2026-02-17 21:30:00,1,4,14763
25.0,Chapter 1: Variation,11,1,Mobile,379,2026-02-19 21:26:19,Form 5,1,3,kertas1,Flexible Learner,589669,english,2026-02-19 21:20:00,1,4,14763
50.0,Chapter 5: Network in Graph Theory,5,2,Tablet,394,2026-02-24 16:36:34,Form 4,2,2,kertas1,Flexible Learner,589670,english,2026-02-24 16:30:00,1,4,14763
0.0,Chapter 3: Logical Reasoning,3,0,Tablet,590,2026-02-27 21:24:50,Form 4,0,5,kertas1,Flexible Learner,589671,english,2026-02-27 21:15:00,1,5,14763
0.0,Chapter 1: Variation,11,0,Laptop,438,2026-02-28 22:37:18,Form 5,0,5,kertas1,Flexible Learner,589672,english,2026-02-28 22:30:00,1,5,14763
0.0,Chapter 10: Consumer Mathematics: Financial Management,10,0,Tablet,524,2026-03-04 16:53:44,Form 4,0,2,kertas2,Flexible Learner,589673,english,2026-03-04 16:45:00,1,2,14763
20.0,Chapter 1: Variation,11,1,Laptop,493,2026-03-05 22:53:13,Form 5,1,4,kertas1,Flexible Learner,589674,english,2026-03-05 22:45:00,1,5,14763
50.0,Chapter 4: Consumer Mathematics: Taxation,14,1,Mobile,469,2026-03-06 22:57:49,Form 5,1,1,kertas2,Flexible Learner,589675,english,2026-03-06 22:50:00,1,2,14763
62.5,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,5,Tablet,720,2026-03-09 20:32:00,Form 5,2,3,kertas1,Flexible Learner,589676,english,2026-03-09 20:20:00,1,8,14763
33.33,Chapter 1: Quadratic Functions and Equations in One Variable,1,1,Laptop,530,2026-03-09 21:48:50,Form 4,1,2,kertas2,Flexible Learner,589677,english,2026-03-09 21:40:00,1,3,14763
75.0,Chapter 6: Linear Inequalities in Two Variables,6,3,Mobile,347,2026-03-14 20:10:47,Form 4,2,1,kertas1,Flexible Learner,589678,english,2026-03-14 20:05:00,1,4,14763
33.33,Chapter 4: Operations on Sets,4,3,Mobile,711,2026-03-14 22:11:51,Form 4,1,6,kertas1,Flexible Learner,589679,english,2026-03-14 22:00:00,1,9,14763
33.33,Chapter 4: Consumer Mathematics: Taxation,14,2,Laptop,633,2026-03-15 22:25:33,Form 5,1,4,kertas1,Flexible Learner,589680,english,2026-03-15 22:15:00,1,6,14763
40.0,Chapter 1: Variation,11,2,Laptop,633,2026-03-24 21:00:33,Form 5,2,3,kertas1,Flexible Learner,589681,english,2026-03-24 20:50:00,1,5,14763
20.0,Chapter 2: Matrices,12,1,Mobile,391,2026-03-24 21:06:31,Form 5,1,4,kertas1,Flexible Learner,589682,english,2026-03-24 21:00:00,1,5,14763
