active_day_ratio,active_days,active_days_last_7_days,avg_session_minutes,avg_time_per_question,evening_session_ratio,max_streak,pattern_label,persona,questions_per_session,recent_active_day_ratio,session_growth_ratio,sessions_last_7_days,sessions_previous_7_days,study_minutes_last_7_days,study_minutes_previous_7_days,synthetic_student_index,total_questions,total_sessions,total_study_minutes,user_id,weekend_session_ratio
0.7692,30,2,9.22,91.11,0.8462,4,Flexible Learner,Flexible Learner,4.82,0.6667,2.0,3,1,70.47,7.85,1,188,39,359.48,14763,0.1538
0.6429,18,1,11.56,100.24,0.1071,3,Weekend Learner,Weekend Learner,5.89,1.0,1,1,0,4.27,0.0,2,165,28,323.72,14764,0.8929
0.6222,56,3,14.3,142.08,1.0,6,High Achiever,High Achiever,5.27,0.4286,0.4,7,5,62.03,71.43,3,474,90,1287.2,14765,0.1889
0.6667,34,2,13.36,139.38,1.0,4,Consistent Climber,Consistent Climber,4.94,1.0,-0.7143,2,7,29.05,70.08,4,252,51,681.27,14766,0.0
0.8929,25,1,19.6,191.42,1.0,6,Deep Focus Learner,Deep Focus Learner,5.57,0.5,2,2,0,66.68,0.0,5,156,28,548.85,14767,0.3214
0.8537,35,4,10.13,96.6,0.8537,3,Flexible Learner,Flexible Learner,5.1,1.0,-0.2,4,5,32.6,49.32,6,209,41,415.37,14768,0.2439
0.7358,39,3,11.28,106.01,0.6981,4,Flexible Learner,Flexible Learner,5.36,1.0,-0.25,3,4,17.9,28.22,7,284,53,597.63,14769,0.3585
0.963,26,0,8.78,82.96,1.0,3,Deep Focus Learner,Deep Focus Learner,5.04,0,-1.0,0,1,0.0,11.78,8,136,27,237.0,14770,0.3333
0.8542,41,4,12.16,119.91,1.0,5,Consistent Climber,Consistent Climber,5.17,0.8,-0.1667,5,6,59.95,97.43,9,248,48,583.45,14771,0.0
0.9524,20,0,9.13,77.9,1.0,2,Deep Focus Learner,Deep Focus Learner,5.67,0,-1.0,0,2,0.0,21.73,10,119,21,191.65,14772,0.1429
0.7636,42,4,11.2,101.53,0.6727,5,Flexible Learner,Flexible Learner,5.44,0.8,0.25,5,4,57.07,36.77,11,299,55,615.77,14773,0.2909
0.6522,15,1,10.75,89.79,0.1304,2,Weekend Learner,Weekend Learner,5.83,1.0,1,1,0,10.78,0.0,12,134,23,247.2,14774,1.0
0.7647,39,1,11.21,102.66,0.8039,5,Flexible Learner,Flexible Learner,5.51,1.0,0.0,1,1,10.32,8.12,13,281,51,571.9,14775,0.2157
0.6716,45,2,12.26,112.04,1.0,4,Consistent Climber,Consistent Climber,5.55,0.5,-0.3333,4,6,29.7,54.37,14,372,67,821.68,14776,0.0
0.6818,45,3,15.95,167.39,1.0,4,Consistent Climber,Consistent Climber,5.14,0.6,-0.2857,5,7,69.83,131.35,15,339,66,1052.68,14777,0.0
0.5484,17,1,8.7,75.41,0.1613,2,Weekend Learner,Weekend Learner,5.52,0.5,2,2,0,21.93,0.0,16,171,31,269.82,14778,1.0
0.68,17,2,13.92,132.46,0.24,2,Weekend Learner,Weekend Learner,5.36,0.5,0.3333,4,3,34.62,63.2,17,134,25,348.08,14779,0.96
0.6053,23,2,10.65,107.92,0.1579,2,Weekend Learner,Weekend Learner,4.87,0.6667,-0.25,3,4,24.93,31.18,18,185,38,404.77,14780,0.9211
0.5556,15,2,10.39,103.1,0.2593,2,Weekend Learner,Weekend Learner,5.07,0.6667,0.0,3,3,22.75,25.57,19,137,27,280.47,14781,1.0
0.7308,38,2,10.13,92.18,1.0,5,Consistent Climber,Consistent Climber,5.35,1.0,2,2,0,14.5,0.0,20,278,52,526.8,14782,0.0
0.614,35,1,12.68,121.01,1.0,3,Consistent Climber,Consistent Climber,5.42,1.0,-0.5,1,2,34.03,45.15,21,309,57,722.85,14783,0.0
0.7838,29,2,9.41,90.6,0.6757,4,Flexible Learner,Flexible Learner,4.92,1.0,-0.3333,2,3,12.6,31.27,22,182,37,348.32,14784,0.3243
0.5349,23,2,15.84,167.81,0.1395,2,Weekend Learner,Weekend Learner,4.95,1.0,-0.5,2,4,19.37,67.1,23,213,43,681.13,14785,1.0
0.6429,18,2,19.98,193.48,0.25,2,Weekend Learner,Weekend Learner,5.64,0.5,3.0,4,1,86.13,5.27,24,158,28,559.33,14786,0.9643
0.8,36,3,11.55,117.27,0.7556,4,Flexible Learner,Flexible Learner,5.07,0.75,1.0,4,2,69.15,26.75,25,228,45,519.73,14787,0.2
0.8158,31,2,15.8,171.28,0.8421,4,Flexible Learner,Flexible Learner,4.89,0.5,4,4,0,39.38,0.0,26,186,38,600.55,14788,0.1579
1.0,18,2,10.89,105.73,0.6667,2,Fresh Starter,Fresh Starter,5.11,1.0,0.0,2,2,37.48,29.17,27,92,18,195.98,14789,0.1667
1.0,12,2,8.87,85.24,0.5833,1,Fresh Starter,Fresh Starter,4.83,1.0,2,2,0,15.87,0.0,28,58,12,106.47,14790,0.4167
1.0,10,0,9.77,82.91,0.7,2,Fresh Starter,Fresh Starter,5.6,0,0,0,0,0.0,0.0,29,56,10,97.68,14791,0.1
0.625,25,2,12.47,117.39,0.2,3,Weekend Learner,Weekend Learner,5.38,0.6667,0.5,3,2,30.58,14.63,30,215,40,498.95,14792,0.95
0.875,28,0,9.82,95.81,0.6875,4,Flexible Learner,Flexible Learner,5.0,0,0,0,0,0.0,0.0,31,160,32,314.18,14793,0.375
0.8158,31,1,13.71,139.32,0.8684,4,Flexible Learner,Flexible Learner,5.26,1.0,-0.5,1,2,8.5,21.97,32,200,38,520.83,14794,0.2632
0.7576,25,0,10.99,104.09,1.0,4,Deep Focus Learner,Deep Focus Learner,5.27,0,-1.0,0,4,0.0,25.48,33,174,33,362.68,14795,0.3636
0.8788,29,2,12.75,136.51,0.7576,3,Flexible Learner,Flexible Learner,4.79,1.0,1.0,2,1,51.77,6.25,34,158,33,420.8,14796,0.2121
0.6486,24,2,11.68,108.82,0.027,3,Weekend Learner,Weekend Learner,5.38,1.0,-0.5,2,4,15.57,101.92,35,199,37,432.3,14797,0.9459
0.75,39,0,16.25,161.55,1.0,5,High Achiever,High Achiever,5.33,0,-1.0,0,4,0.0,35.03,36,277,52,845.13,14798,0.1731
0.6071,17,2,16.09,167.06,0.3214,2,Weekend Learner,Weekend Learner,5.11,0.3333,5.0,6,1,82.98,9.18,37,143,28,450.45,14799,0.9286
0.8421,16,0,9.13,84.78,1.0,2,Deep Focus Learner,Deep Focus Learner,5.0,0,-1.0,0,1,0.0,9.43,38,95,19,173.45,14800,0.2105
0.9394,31,3,11.88,122.1,1.0,4,Deep Focus Learner,Deep Focus Learner,4.94,1.0,2.0,3,1,37.12,4.87,39,163,33,392.02,14801,0.1818
0.8235,28,2,13.16,138.31,0.8529,5,Flexible Learner,Flexible Learner,4.94,1.0,1.0,2,1,11.85,11.8,40,168,34,447.52,14802,0.2353
0.7143,35,2,11.86,106.48,0.6939,5,Flexible Learner,Flexible Learner,5.67,0.6667,-0.25,3,4,90.75,49.45,41,278,49,580.97,14803,0.3878
0.8182,18,3,9.2,78.25,0.1818,2,Weekend Learner,Weekend Learner,5.45,0.75,0.3333,4,3,39.75,32.52,42,120,22,202.5,14804,0.9545
0.6739,31,3,8.75,80.54,1.0,2,Consistent Climber,Consistent Climber,5.0,0.6,1.5,5,2,42.92,18.25,43,230,46,402.35,14805,0.0
0.9286,26,3,14.06,161.67,1.0,2,Deep Focus Learner,Deep Focus Learner,4.5,1.0,0.5,3,2,24.03,52.45,44,126,28,393.68,14806,0.1786
0.6081,45,2,11.7,105.76,1.0,4,Consistent Climber,Consistent Climber,5.59,1.0,-0.6,2,5,46.62,42.23,45,414,74,866.02,14807,0.0
0.7805,32,1,11.63,96.61,0.7073,3,Flexible Learner,Flexible Learner,6.05,0.5,-0.7143,2,7,68.82,60.37,46,248,41,476.97,14808,0.2439
1.0,16,0,11.92,127.77,0.5625,3,Fresh Starter,Fresh Starter,4.62,0,-1.0,0,1,0.0,12.2,47,74,16,190.68,14809,0.375
0.8039,41,4,15.12,163.96,0.6275,3,Flexible Learner,Flexible Learner,4.84,0.8,0.6667,5,3,49.77,64.78,48,247,51,771.15,14810,0.2157
0.5641,22,1,15.61,142.36,0.1026,2,Weekend Learner,Weekend Learner,5.79,1.0,-0.6667,1,3,5.12,28.42,49,226,39,608.87,14811,0.9744
0.7419,46,3,17.63,176.53,1.0,5,Consistent Climber,Consistent Climber,5.31,0.6,-0.2857,5,7,51.97,119.47,50,329,62,1093.23,14812,0.0
0.5806,36,2,13.35,131.83,1.0,5,Consistent Climber,Consistent Climber,5.21,0.6667,0.0,3,3,49.83,25.15,51,323,62,828.0,14813,0.0
1.0,21,1,11.78,126.38,0.7143,2,Fresh Starter,Fresh Starter,4.62,1.0,1,1,0,29.55,0.0,52,97,21,247.38,14814,0.4286
0.8214,23,0,12.85,108.99,1.0,3,Deep Focus Learner,Deep Focus Learner,6.04,0,0,0,0,0.0,0.0,53,169,28,359.92,14815,0.3214
0.686,59,5,16.68,171.31,1.0,6,High Achiever,High Achiever,5.17,0.7143,0.0,7,7,60.27,96.62,54,445,86,1434.5,14816,0.1163
0.86,43,3,14.13,143.32,1.0,5,High Achiever,High Achiever,5.16,1.0,0.0,3,3,75.8,70.38,55,258,50,706.38,14817,0.16
0.8,40,1,9.71,88.14,0.62,4,Flexible Learner,Flexible Learner,5.28,1.0,1,1,0,8.42,0.0,56,264,50,485.53,14818,0.26
0.8667,26,2,13.38,140.37,0.8,2,Flexible Learner,Flexible Learner,4.97,0.6667,0.5,3,2,20.1,11.8,57,149,30,401.47,14819,0.2333
0.8056,29,2,11.05,105.5,0.8056,4,Flexible Learner,Flexible Learner,5.25,0.6667,-0.4,3,5,30.22,36.9,58,189,36,397.82,14820,0.3611
0.6667,16,2,12.62,120.17,0.0833,2,Weekend Learner,Weekend Learner,5.33,0.5,4,4,0,30.18,0.0,59,128,24,302.98,14821,1.0
0.7561,31,3,15.07,168.1,0.8049,2,Flexible Learner,Flexible Learner,4.76,1.0,-0.25,3,4,29.27,34.6,60,195,41,617.68,14822,0.2927
0.6119,41,4,10.55,102.82,1.0,5,Consistent Climber,Consistent Climber,5.04,0.4,1.5,10,4,99.5,35.33,61,338,67,707.1,14823,0.0
