accuracy_percent,attempts,avg_score_ratio_percent,chapter_id,correct_attempts,is_hidden_strong_topic,is_hidden_weak_topic,persona,synthetic_student_index,user_id
66.67,24,70.71,1,16,0,0,Flexible Learner,1,14763
0.0,3,0.0,2,0,0,0,Flexible Learner,1,14763
21.43,14,32.5,3,3,0,0,Flexible Learner,1,14763
33.33,9,33.33,4,3,0,0,Flexible Learner,1,14763
50.0,22,50.0,5,11,0,0,Flexible Learner,1,14763
75.0,4,75.0,6,3,0,0,Flexible Learner,1,14763
40.0,10,40.0,7,4,0,0,Flexible Learner,1,14763
16.67,6,16.67,8,1,0,0,Flexible Learner,1,14763
80.0,5,80.0,9,4,1,0,Flexible Learner,1,14763
0.0,2,36.25,10,0,0,0,Flexible Learner,1,14763
19.23,26,21.3,11,5,0,1,Flexible Learner,1,14763
33.33,18,26.09,12,6,0,1,Flexible Learner,1,14763
33.33,3,60.0,13,1,0,0,Flexible Learner,1,14763
27.78,18,52.14,14,5,0,0,Flexible Learner,1,14763
37.5,8,37.5,15,3,0,0,Flexible Learner,1,14763
66.67,12,75.71,16,8,0,0,Flexible Learner,1,14763
50.0,4,50.0,17,2,1,0,Flexible Learner,1,14763
75.0,4,83.33,2,3,0,0,Weekend Learner,2,14764
71.43,7,71.43,3,5,0,0,Weekend Learner,2,14764
69.23,13,69.23,5,9,1,0,Weekend Learner,2,14764
60.0,5,60.0,6,3,0,0,Weekend Learner,2,14764
30.77,13,30.77,7,4,0,1,Weekend Learner,2,14764
50.0,8,66.0,8,4,0,0,Weekend Learner,2,14764
100.0,5,100.0,9,5,0,0,Weekend Learner,2,14764
69.23,26,69.23,11,18,0,0,Weekend Learner,2,14764
60.0,5,60.0,12,3,1,0,Weekend Learner,2,14764
85.71,7,85.71,13,6,0,0,Weekend Learner,2,14764
66.67,12,66.67,14,8,0,0,Weekend Learner,2,14764
48.15,27,76.73,15,13,1,0,Weekend Learner,2,14764
62.5,16,70.28,16,10,0,0,Weekend Learner,2,14764
47.06,17,47.06,17,8,0,0,Weekend Learner,2,14764
63.41,41,79.79,1,26,0,0,High Achiever,3,14765
100.0,6,100.0,2,6,0,0,High Achiever,3,14765
90.91,11,90.91,3,10,1,0,High Achiever,3,14765
71.43,7,88.82,4,5,1,0,High Achiever,3,14765
75.0,24,83.43,5,18,0,0,High Achiever,3,14765
52.17,23,80.59,6,12,0,0,High Achiever,3,14765
64.71,68,72.12,7,44,0,1,High Achiever,3,14765
62.07,29,75.92,8,18,0,1,High Achiever,3,14765
56.1,41,69.18,9,23,0,1,High Achiever,3,14765
80.95,21,80.95,10,17,0,0,High Achiever,3,14765
